349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;349;349;349;349;349;349;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;349;349
348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;351;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;348;348;348;349;348;348;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;349;349;349;349;349;349;348;348
349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;349;349;349;349;349;349;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;351;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;349;349;349;349
349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;349;349;349;349;349;349;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;349;349;351;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348
348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;349;349;349;349;349;349;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;349;349;349;349;349;349;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349
349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;349;349;349;349;349;349;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;349;349;349;349;349;349;348;348;348;348;349;349;349;349;349;349;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349
348;348;348;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;349;349;349;349;349;349;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;348;348;348;348;348;348;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;349;349;349;349;349;349;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348
349;349;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;351;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;348;348;348;348;348;348;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;349;349;349;349;349;349;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;351
348;349;349;349;349;349;348;348;348;348;348;349;349;351;349;349;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;351;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;349;349;349;349;349;349;348;348;348
348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;351;349;349;349;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;349;349;349;349;349
349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;348;348;348;348;349;348;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;349;349;349;349;349;349;348;348;348;348;349
348;348;348;348;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;349;349;349;349;349;349;348;348;348;348;349;349;349;349;351;349;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;349;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;348;348;348;349;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348
349;349;349;348;348;348;348;348;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;351
348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;348;348;348;348;348;348;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;348;348;348;348;348;348;349;349;349;349;348;348;348
349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;349;348;349;349;349;349;349;349;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349
349;349;349;349;349;349;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;349;349;349;349;349;349;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;351;349;349;349;348;348;348;348
348;348;348;348;349;349;349;349;349;349;348;348;348;348;349;351;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;349;349;349;349;349;349;348;348;348;348;349;349;349;349;349
349;349;349;349;348;348;349;348;348;349;349;349;349;349;348;348;348;348;349;349;349;349;349;349;348;348;348;348;349;349;349;349;349;348;348;348;349;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;349;349;349;349;349;348;349;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;349;349;349;349;349;349;348;348;348;348;348;349;351;349;349;349;348;348;348;348;349
348;348;348;348;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;349;348;348;349;349;349;349;349;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;349;349;349;349;349;349;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;348;348;348;348;348;348;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348
349;349;349;348;348;348;348;348;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;349;349;349;349;349;349;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;348;348;348;348;348;348;349;349;349;349;348;348;348;348;348;349;351
348;348;349;349;349;349;349;348;349;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;349;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;349;349;349;349;349;349;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;351;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348
349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;349;349;349;349;349;349;348;348;348;348;349;351;349;349;349;348;348;348;348;348;349;349;349
348;351;351;351;349;349;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;349;349;349;349;349;349;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;349;349;351;351;349;349;348;348;348
348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;348;348;348;348;348;348;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;349;349;349;349;349;348;348;348;348;348;351;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;348;348;348;348;348;348;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349
349;349;349;349;349;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;348;348;348;348;348;348;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;349;349;349;349;349;349;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;349;349;349;349;349;348;348;348;348;348
348;348;348;349;349;349;349;349;349;348;348;348;348;349;349;349;349;349;349;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;351;349;349;349;349;348;348;348;348;348;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349
349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;349;349;349;349;349;349;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;349;348;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;348;348;348;348;349;348;349;349;349;349;348;348;348;348;348;349;351;349;349;349;348;348;348;348;348;349
348;348;348;349;349;349;349;349;348;348;349;348;348;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;349;349;349;349;349;349;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;351;349;349;348;348
349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;348;348;348;348;348;348;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;349;349;349;349;349;349;348;349;348;348;349;349;349;349;349;349;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349
348;348;349;349;349;349;349;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;351;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;349;349;349;349;349;349;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;349;348;348;348;349;349;349;349;349;349;348;348
349;348;348;348;348;349;349;349;349;349;349;348;348;348;349;348;349;349;349;349;348;348;348;348;348;348;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;349;349;349;349;349;349;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;349;348;348;348;349;351;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349
349;349;349;349;349;349;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;349;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;348;348;348;348;348;348;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;349;348;349;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;349;348;348;349;351;349;349;349;348;349;349;348;348;349;351;349;349;349;348;348;348;349;349;349;351;351;349;349;348;348;349
349;348;348;348;349;349;349;351;349;349;348;348;348;348;349;349;349;349;349;349;348;348;348;348;349;351;349;349;349;349;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;349;348;348;349;349;349;349;348;348;348;349;349;349;349;349;349;349;349;348;348;349;348;349;351;351;351;349;348;348;348;349;349;349;349;349;349
349;349;349;349;349;348;348;349;348;348;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;351;349;349;348;348;348;348;349;349;349;349;349;349;348;349;348;348;349;349;349;349;349;348;348;348;348;349;349;349;349;349;349;348;348;348;348;349;351;349;349;349;349;348;348;348;349;348;349;349;349;349;348;348;348;348;348
348;348;348;348;349;349;349;349;349;348;348;348;348;349;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;348;348;348;348;348;349;351;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;349;349;349;349;349;349;349;348;348;349;348;349;351;349;349;349;348;348;348;348;348;349;349;349;349;349
349;349;349;349;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;349;349;349;349;349;349;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;349;348;348;348;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;349;348;348;349;348;351;349;349;349;349;348;348;348;348;349
349;348;349;351;349;349;349;349;349;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;348;348;348;348;348;348;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;351;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;349;349;349;349;349;349;348;348;348;348;349;349;349;349;349;348;348;348;348;349;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;349;349;349;349;349;349;348
349;349;349;348;348;348;348;349;349;349;349;349;349;348;348;348;348;349;349;349;349;349;349;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;349;349;349;349;349;348;348;349;348;348;348;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;349;348;349;351;349;349;349;348;348;348;348;348;349;349;351;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349
348;349;348;351;349;349;349;349;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;349;348;349;349;349;349;349;349;349;348;348;348;348;349;349;349;349;349;349;348;348;348;348;349;349;349;351;349;348;348;349;348;348;349;349;349;349;349;348;348;348;348;348;351;349;349;349;349;348;348;348;348;349;349;349;349;349;348;348;348;348;349;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;349;348;348;348;349;349;349;349;348;348;348;348;348;349;351;349;349;349;348;348
349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;348;348;348;348;349;349;349;349;349;349;348;348;348;348;348;349;351;349;349;349;348;348;348;348;348;349;349;349;349;348;348;348;348;348;349;349;351;351;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;349;349;349;349;349;349;348;348;348;348;349;349;351;349;351;348;348;349;348;348;349;349;349;349;349;348;348;348;348;348;349;351
349;348;349;349;349;349;349;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;349;349;349;349;349;349;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;348;348;349;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;349;349;349;349;349;349;348;348
349;348;348;348;348;348;349;349;349;349;349;348;348;348;349;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;351;349;349;349;348;348;348;348;349;349;349;349;349;349;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;348;348;348;349;349;349;349;349;348;348;349;348;349;349;349;349;349;348;348;348;348;348;349;349;349
